epoch;start_time;end_time;data;data_start_index;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;validation_loss;validation_loss_policy;validation_loss_value;validation_accuracy_policy
87;1577400280.2228749;1577400504.6828313;Model1496000;300000;6.008059978485107;5.777966022491455;0.23009882867336273;0.11570999771356583;5.99639368057251;5.773026466369629;0.22338002920150757;0.12055999785661697
88;1577400504.6873612;1577400729.1650777;Model1482000;300000;6.005504608154297;5.777731895446777;0.2277698814868927;0.11587999761104584;5.994924545288086;5.772876262664795;0.22206301987171173;0.1207600012421608
89;1577400729.1696334;1577400953.8710532;Model1467000;0;5.993276596069336;5.771975517272949;0.22130094468593597;0.12161999940872192;5.9943013191223145;5.7712907791137695;0.22300957143306732;0.12223000079393387
90;1577400953.8756382;1577401178.6131666;Model1491000;300000;6.014753818511963;5.775859832763672;0.23890165984630585;0.11784999817609787;6.002896785736084;5.766299724578857;0.23660875856876373;0.12732000648975372
91;1577401178.6178336;1577401403.0930111;Model1475000;400000;6.008650302886963;5.768905162811279;0.23974378407001495;0.12476000189781189;5.999160289764404;5.767851829528809;0.23130689561367035;0.12571999430656433
92;1577401403.0983815;1577401627.8459163;Model1480000;200000;6.006415843963623;5.771762847900391;0.23465391993522644;0.12178999930620193;6.003163814544678;5.778076171875;0.22507895529270172;0.11548999696969986
93;1577401627.8504612;1577401851.1489677;Model1491000;400000;6.011973857879639;5.7737860679626465;0.23818743228912354;0.1198199987411499;6.002452850341797;5.767151355743408;0.23528988659381866;0.1263599991798401
94;1577401851.1541758;1577402075.675293;Model1496000;400000;5.9977521896362305;5.769362449645996;0.22838154435157776;0.1242000013589859;5.987858772277832;5.762052536010742;0.22580532729625702;0.13149000704288483
95;1577402075.6797032;1577402300.6704216;Model1498000;200000;5.989861965179443;5.763454437255859;0.22639349102973938;0.13015000522136688;5.985960960388184;5.763386249542236;0.22255626320838928;0.13019999861717224
96;1577402300.6750438;1577402525.9450045;Model1472000;100000;5.991382598876953;5.763291358947754;0.22808986902236938;0.13030000030994415;5.987635612487793;5.763253211975098;0.22437800467014313;0.13040000200271606
97;1577402525.9495678;1577402750.5610948;Model1471000;200000;5.997894287109375;5.762874603271484;0.2350141704082489;0.1306699961423874;5.989170551300049;5.76476526260376;0.22440661489963531;0.12883999943733215
98;1577402750.5661495;1577402975.201132;Model1487000;500000;6.003976345062256;5.768120288848877;0.23585675656795502;0.12546999752521515;6.004379749298096;5.766419887542725;0.23794782161712646;0.12732000648975372
99;1577402975.2060456;1577403199.5907843;Model1484000;200000;5.996316909790039;5.7660112380981445;0.23029904067516327;0.12758000195026398;5.986850261688232;5.761462688446045;0.22538705170154572;0.13213999569416046
